Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 0, 3, 30.0, -0.5
Query 1, 3, 30.0, -15.25
Query 2, 0, 0.0, 0
Query 3, 2, 20.0, -57.0
Query 4, 0, 0.0, 0
Query 5, 5, 50.0, -0.8999999999999999
Query 6, 3, 30.0, -4.25
Query 7, 3, 30.0, -3.5
Query 8, 0, 0.0, 0
Query 9, 1, 10.0, 0
Query 10, 5, 50.0, 0.55
Query 11, 3, 30.0, -7.25
Query 12, 6, 60.0, -0.7428571428571429
Query 13, 3, 30.0, -10.25
Query 14, 2, 20.0, -1.0
Query 15, 0, 0.0, 0
Query 16, 1, 10.0, 0
Query 17, 1, 10.0, 0
Query 18, 5, 50.0, -0.3500000000000001
Query 19, 2, 20.0, -8.0
Query 20, 2, 20.0, 0.0
Query 21, 0, 0.0, 0
Query 22, 2, 20.0, -17.0
Query 23, 2, 20.0, -9.0
Query 24, 3, 30.0, -2.5
Query 25, 5, 50.0, -0.44999999999999996
Query 26, 0, 0.0, 0
Query 27, 3, 30.0, 0.5
Query 28, 1, 10.0, 0
Query 29, 1, 10.0, 0
Query 30, 3, 30.0, -1.0
Query 31, 2, 20.0, -1.0
Query 32, 1, 10.0, 0
Query 33, 3, 30.0, -5.0
Query 34, 1, 10.0, 0
Query 35, 1, 10.0, 0
Query 36, 3, 30.0, 0.5
Query 37, 3, 30.0, -14.25
Query 38, 2, 20.0, -4.0
Query 39, 0, 0.0, 0
Query 40, 3, 30.0, -1.75
Query 41, 1, 10.0, 0
Query 42, 5, 50.0, -1.9
Query 43, 1, 10.0, 0
Query 44, 0, 0.0, 0
Query 45, 3, 30.0, -14.5
Query 46, 0, 0.0, 0
Query 47, 1, 10.0, 0
Query 48, 3, 30.0, -9.25
Query 49, 3, 30.0, -11.25
Query 50, 4, 40.0, -1.0
Query 51, 2, 20.0, -1.0
Query 52, 1, 10.0, 0
Query 53, 1, 10.0, 0
Query 54, 1, 10.0, 0
Query 55, 2, 20.0, 0.0
Query 56, 2, 20.0, -44.0
Query 57, 0, 0.0, 0
Query 58, 2, 20.0, 0.0
Query 59, 1, 10.0, 0
Query 60, 2, 20.0, -64.0
Query 61, 5, 50.0, -2.35
Query 62, 3, 30.0, -12.5
Query 63, 3, 30.0, -4.5
Query 64, 4, 40.0, -5.2
Query 65, 1, 10.0, 1
Query 66, 3, 30.0, -8.25
Query 67, 5, 50.0, -2.05
Query 68, 2, 20.0, -1.0
Query 69, 2, 20.0, -3.0
Query 70, 0, 0.0, 0
Query 71, 3, 30.0, -0.25
Query 72, 3, 30.0, -9.0
Query 73, 0, 0.0, 0
Query 74, 3, 30.0, -3.25
Query 75, 2, 20.0, -3.0
Query 76, 4, 40.0, 0.8
Query 77, 3, 30.0, -2.0
Query 78, 1, 10.0, 0
Query 79, 1, 10.0, 0
Query 80, 3, 30.0, -1.75
Query 81, 1, 10.0, 0
Query 82, 3, 30.0, -6.25
Query 83, 2, 20.0, -3.0
Query 84, 2, 20.0, -3.0
Query 85, 3, 30.0, -1.5
Query 86, 2, 20.0, -15.0
Query 87, 1, 10.0, 0
Query 88, 3, 30.0, -1.0
Query 89, 2, 20.0, -9.0
Query 90, 4, 40.0, -4.8
Query 91, 0, 0.0, 0
Query 92, 3, 30.0, -0.5
Query 93, 5, 50.0, -0.5
Query 94, 0, 0.0, 0
Query 95, 2, 20.0, 0.0
Query 96, 1, 10.0, 0
Query 97, 3, 30.0, -4.25
Query 98, 0, 0.0, 0
Query 99, 2, 20.0, -7.0
Averages, 2.14, 21.4, -4.223928571428572
